Mineral_Commodity,Year,Note,Quantity,Data_type,Unit_MEAS,Form,Geographic_Region,Figure_Use,Data Sources,,,,,,,,,,,,,,,,
Cobalt,2018,reported,4878,Production,Metric tons,"Ore, Cobalt content",Australia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,3279,Production,Metric tons,"Ore, Cobalt content",Canada,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,revised,2241,Production,Metric tons,"Ore, Cobalt content",China,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,104000,Production,Metric tons,"Ore, Cobalt content",Congo (Kinshasa),Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,3600,Production,Metric tons,"Ore, Cobalt content",Cuba,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,1377,Production,Metric tons,"Ore, Cobalt content",Finland,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,1200,Production,Metric tons,"Ore, Cobalt content",Indonesia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,3300,Production,Metric tons,"Ore, Cobalt content",Madagascar,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,1400,Production,Metric tons,"Ore, Cobalt content",Mexico,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,2300,Production,Metric tons,"Ore, Cobalt content",Morocco,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,2100,Production,Metric tons,"Ore, Cobalt content",New Caledonia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,3275,Production,Metric tons,"Ore, Cobalt content",Papua New Guinea,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,3600,Production,Metric tons,"Ore, Cobalt content",Philippines,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,8700,Production,Metric tons,"Ore, Cobalt content",Russia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,1007,Production,Metric tons,"Ore, Cobalt content",South Africa,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,rounded,148000,Production,Metric tons,"Ore, Cobalt content",Total,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,259,Production,Metric tons,"Ore, Cobalt content",Turkey,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,estimated,480,Production,Metric tons,"Ore, Cobalt content",United States,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2018,reported,835,Production,Metric tons,"Ore, Cobalt content",Zambia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2022, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
